review,label
app terrible frequently crash load loop force close app well periodically resign app even youve already signed ive uninstall redownloadinstall app many time shame telkomsel monopoly area indonesia service poor doesnt match charge service incentive improve continue take advantage customer,0
bloated noisy poor versioning every month seems need update month followed app prompt update crashed completely uninstalled reinstalled many user problem new version need disable update prompt figure thing also please disable song default app open know common indonesian apps tapi kurang sopan krn bisa mengganggu acara,0
ive tried verify personal information using id card application previously followed instruction correctly scanned id card preview opportunity edit whether name read correctly verification suddenly verification declared successful turned name spelled incorrectly realized verified personal information app cant edited waste time,0
ive using app pretty long time since app ask update already opened app suddenly crashed wouldnt let open already report bug restarting phone didnt help either please fix really need buy mobile data thank,0
always encountering problem whenever want topup payment using credit card international user countrythe payment card go credit card option topup nonindonesian user really annoying please fix asap consider giving higher star,0
expensive slow package sm notification package mb always late application slow refresh internet data run low application slow loading data run emergency package sell provider expensive increase past,0
every time try open app take forever load crash act weird—its mess try accessing using wifi cant even log reinstalling app doesnt help either still doesnt work app never fixed please fix random bug make app lighter even wifi still cant load properly ridiculous,0
im forced use app manage indihome account useless customer service solution request ticket submitted even week use internet system error doesnt allow change address offer template message follow issue relevant team progress solution two whole week,0
good first load entering apps sometimes fine usually little bug load data package available even though great signal g device io android problem price increased service need improve brow revised comment fix obstacle thanks update nothing fixed event used ultra tried reinstall apps sadly verification process bad 🤦‍,0
app buggy take load everything interface trigger another absurdly long loading many useless feature annoying confusing make app terribly slow want pay phone bill check quota thats need decided go another low every day decided push notification online loan moment alternative app come uninstalled immediately,0
app buggy tried enter otps account related thing always rejected saying invalid otp everytime ask please clear cache please reinstall wont help since wrong part grapari cant even help junk waste time whoever think made super app thing dont matter customer clearly fool,0
wont even open app keep crashing open update finally work reinstalling guess data always date currently may th warning losing data since itll expire may th already expired begin please revert new addons much ad unnecessary stuff app focusing using data actually annoying hell,0
app buggy take load everything interface trigger another absurdly long loading many useless feature annoying confusing make app terribly slow great app telkomsel want pay phone bill check quota thats need decided go another low every day decided push notification online loan moment alternative app come uninstalled immediately px,0
cant find setting change language english app indonesian language default sim card seller left phone even searching bahasa indonesian language help faq website say navigation menu enough information people cant read indonesian even app language set english lot still indonesian even contract description,0
app terrible handling indihomerelated issue there dedicated menu reported problem ai said created ticket—but cant view status anywhere ’ even sure actually submitted chatbot responded generically please add separate section indihome old app simple clear one confusing unhelpful,0
telkomsel masterclass ruin utility app ’ slower g connection bloated irrelevant ad buy promo masquerading feature basic functions—like checking data paying bills—require battling labyrinth laggy menu sudden crash ui look like spam folder exploded prioritizing telkomsel ’ marketing usability even update remains batterydraining storagehogging disgrace zero star could,0
bad telco operator application reliable always error look good always crash wating time anything apps good thing operator coverage good indonesia fare expensive active period short least please fix apps else losing customer,0
worst app ever used total nightmare take age load many link thats useless top take time activate sometimes doesnt management look useless app get new developer developer need understand apps user mainly used keep app simple like google apps,0
much graphic app slowing app cant function well cant login indihome user dont telkomsel number edit clearing cache reinstall wont help benchmark load much heavy asset unoptimized performance may tell youre dev need test lower o least android much glassmorphism pretty wont make app function well apparently,0
year using telkomsel internet giving try test there improvement yes internet speed bad ever especially residence slow provider showed similar result though pointing cant rely much internet provider live rural area,0
terrible app didnt work well cant buy package always said system trouble wth also veronika cant solve problem c didnt appear right time take long time im even get solution edit getting worse beli paket di tulisannya udah berhasil didnt show di bagian kuota internet still refresh nothing change please fix karena selalu seperti ini ga bisa muncul otomatis klo begitu jdi gak berguna appnya,0
apps buggy sometimes get crashed frequently take forever load front page moreover buy package become loyal customer loyal customer mean expensive package youll getstrange supposedly royal customer get discount instead,0
one worst apps ’ used even basic purchase take nearly minute ’ sluggish unresponsive feel like waiting line government office endless loading bloat make unbearable telkomsel youre going launch app look trendy least make usable alone make consider switching provider could build better mytelkomsel day halfasleep ’ download unless youre pain,0
quota option numerous confusing like merchandise market internet package application application navigation also confusing prioritize user main business internet package application slow sluggish uninstall different occasion application respond bad experience company telkomsels level,0
claim extra benefit due late server respons make simple lighter apps basic essential function dont bug issue since failed many time make good sophisticated apps advice start simple point making thing look good problematic time,0
